[다] 모두	「全」都是	--		
학교에 [다녀오다]	「去一趟」學校	--		
회사에 [다니다]	去「公司」	--		
모양이 [다르다]	「不同的」模樣	--		
[다른] 나라	「別的」國家	--		
[다리]가 길다	「腿」很長	--		
[다리]를 건너다	過「橋」	--		
[다림질]을 하다	熨衣服	--		
[다섯째] 사람	「第五個」人	--		
[다시] 시작하다	「再次」開始	--		
[다양]한 방법	「各種」方法	--		
[다음] 날	「隔」一天	--		
[다음날]에 만나다	「隔天」見	--		
[다이어트]에 성공하다	「減肥」成功	--		
팔을 [다치다]	腳「受傷」	--		
기력이 [다하다]	精力「耗盡」	--		
구두를 [닦다]	「擦」皮鞋	--		
[단순] 노동	「簡單的」勞動	--		
[단어]를 외우다	記「單詞」	--		
[단추]가 떨어지다	「扣子」掉了	--		
[단풍]이 들다	「楓葉」紅了	--		
문을 [닫다]	「關」門	--		
다음 [달]	下個「月」	--		
[달걀]을 삶다	煮「雞蛋」	--		
맛이 [달다]	「甜的」味道	--		
[달력]을 걸다	掛「日曆」	--		
[달리기]가 빠르다	「跑」得快	--		
빨리 [달리다]	「跑」快點	--		
[닭]을 키우다	養「雞」	--		
[닭고기]를 볶다	炒「雞肉」	--		
아빠를 [닮다]	「像」爸爸	--		
[담배]를 피우다	抽「煙」	--		
[답]이 없다	沒有「回答」	--		
가슴이 [답답하다]	胸口「鬱悶」	--		
[답장]을 보내다	寄出「回信」	--		
차 한 [대]	一「台」車	--		
[대구]에 살다	住在「大邱」	--		
[대답]을 기다리다	等待「回覆」	--		
[대부분]의 시간	「大部份的」時間	--		
미국 [대사관]	美國「大使館」	--		
[대전]	大田（地名）	--		
[대학]에 들어가다	進「大學」	--		
[대학교]에 입학하다	進「大學」	--		
[대학생]이 되다	成為「大學生」	--		
[대학원]을 다니다	讀「研究所」	--		
[대화]를 나누다	分享「對話」	--		
[대회]가 열리다	舉辦「大會」	--		
선생님 [댁]	老師的「家」（敬語）	--		
하나 [더]	更多的	--		
손이 [더럽다]	手很「髒」	--		
[더욱] 좋다	「更」好	--		
부모님 [덕분]	「多虧」父母	--		
공을 [던지다]	「扔」球	--		
날씨가 [덥다]	天氣「熱」	--		
아이를 [데려가다]	「帶」小孩「去」	--		
친구를 [데려오다]	「帶」朋友「來」	--		
[데이트]를 신청하다	申請「見面」	--		
영상 일 [도]	零上一「度」	--		
[도로]를 건너다	越過「道路」	--		
[도시]를 건설하다	建設「城市」	--		
일을 [도와주다]	「幫忙」工作	--		
[도움]을 받다	接受「幫助」	--		
[도착] 시간	「到達」時間	--		
[독서]를 하다	讀書	--		
[독일]:나라	德國	--		
[돈]을 벌다	賺「錢」	--		
[돈가스]를 먹다	吃「豬排」	--		
[돌]을 던지다	丟「石頭」	--		
바퀴가 [돌다]	輪子在「旋轉」	--		
책을 [돌려주다]	「還」書	--		
바퀴를 [돌리다]	輪子「轉動」	--		
바퀴가 [돌아가다]	輪子「轉動」	--		
학교에서 [돌아오다]	從學校「回來」	--		
아버지를 [돕다]	「幫助」爸爸	--		
[동네] 사람	「小鎮」人們	--		
[동대문]	東大門	--		
[동물]을 키우다	養「動物」	--		
[동생]이 태어나다	「弟弟」出生了	--		
[동시]에 일어나다	「同時」站起來	--		
며칠 [동안]	幾天「期間」	--		
백 원짜리 [동전]	百元「硬幣」	--		
[동쪽]:방향	東方	--		
[돼지]를 기르다	餵養「豬」	--		
[돼지고기]를 먹다	吃「豬肉」	--		
배우가 [되다]	「當」演員	--		
[된장]에 찍다	沾「味噌醬」	--		
[된장찌개]를 먹다	吃「味噌鍋」	--		
책이 [두껍다]	書「厚」	--		
책상 위에 [두다]	「放」在桌上	--		
[두부]를 먹다	吃「豆腐」	--		
[두세] 개	「兩三」個	--		
[두통]을 앓다	患「頭痛」	--		
[둘째] 딸	「二」女兒	--		
[뒤]에 있다	在「後面」	--		
[뒤쪽]	後邊	--		
[드디어] 끝나다	「終於」結束了	--		
[드라마]를 보다	看「連續劇」	--		
용돈을 [드리다]	「給」零用錢	--		
음악을 [듣다]	「聽」音樂	--		
돈이 [들다]	「花」錢	--		
가방을 [들다]	「提著」包包	--		
서점에 [들르다]	「到」書店	--		
소리가 [들리다]	「聽到」聲音	--		
방으로 [들어가다]	「進去」房間	--		
학교로 [들어오다]	「進來」學校	--		
[등]	背	--		
[등산]을 가다	登山	--		
[디자인]이 예쁘다	「設計」很漂亮	--		
방 안이 [따뜻하다]	家中很「溫暖」	--		
[따로] 분리하다	「個別」分開	--		
[딸]	女兒	--		
[딸기]	草莓	--		
[땀]이 나다	流「汗」	--		
[땅]에 떨어지다	掉在「地上」	--		
어릴 [때]	小「時」	--		
어디론가 [떠나다]	「離開」去哪	--		
시끄럽게 [떠들다]	大聲吵鬧	--		
[떡]	年糕	--		
[떡국]	年糕湯	--		
[떡볶이]	炒年糕	--		
낭떠러지로 [떨어지다] 	「掉下」懸崖	--		
[또] 생기다	「又」發生了	--		
남자 [또는] 여자	男生「或」女生	--		
모양이 [똑같다]	「相同的」模樣	不同的	前面	繼續
[똑같이] 나누다	「均」分	--		
머리가 [똑똑하다]	頭腦「很聰明」	--		
[똑바로] 가다	「向前」走	--		
몸매가 [뚱뚱하다]	身材「胖」	--		
운동장을 [뛰다]	「跑」操場	--		
학교로 [뛰어가다]	「跑去」學校	--		
국물이 [뜨겁다]	湯「很燙」	--		
눈을 [뜨다]	「睜開」眼睛	--		
[뜻]이 어렵다	「意思」很難懂	--		
