안녕하세요
안녕히 주무세요
괜찮아요.
안녕히 가세요  
또 만납시다.
내일 또 만납시다
일본에서 다시 만납시다
조심하세요
몸 조심하세요
차 조심하세요
부모님께 안부 전해 주세요
고맙습니다
천만에요
신세 많이 졌습니다
폐를 끼쳤습니다
신경 쓰지 마세요.
죄송합니다
미안합니다
괜찮아요
늦어서 미안합니다
용서해 주세요
걱정하지 마세요.
네.
아니에요.
네, 좋아요.
네, 그래요.
알았어요.
몰라요.
알아요
잘 모르겠어요.
잘 못 알아 들었어요.
뭐라고 하셨어요?
다시 한번 말씀해 주세요.
써 주시겠어요 ?
천천히 말씀해 주세요.
무슨 뜻인지 모르겠어요.
한국어는 조금밖에 못 해요.
제가 말하는 것을 이해할 수 있어요 ?
간단히 설명해 주세요.
처음 뵙겠습니다. 저는 Ben 입니다.
잘 부탁합니다.
만나서 반갑습니다
저는 Ben 이라고 합니다.
성함이 어떻게 되십니까 ?
저분은 누구세요 ?
그녀는 제 여동생이닙다.
그녀의 이름이 뭐에요 ?
대만사람 입니다
당신은 한국사람 입니까 ?
얼마에요?
어떤 색깔을 찾으세요?
이  코트  얼마에요 ?
어떤 무늬가 좋을까요 ?
 선물 을 사고 싶은데요.
이것은 가져가도 돼요?
이것을  하나  주세요.
이거 주세요.
몇 분이세요 ?
이거 어떻게 먹어요 ?
주문 부탁합니다.
간장 좀 주세요.
 맥주  주세요.
계산을 부탁합니다.
어느 길로 가야 돼요 ?
제일 가까운 역이 어디지요 ?
 이 역  에는 어떻게 가면 돼요 ?
 화장실  이 어디에요 ?
 서울역  까지 표를 한장 주세요.
 서울  로 가려면 어디서 갈아타야 돼요 ?
지금 어디에 있는지 가르쳐 주세요.
언제 출발하시겠어요 ?
언제 돼요 ?
언제 찾을 수 있어요 ?
누구세요 ?
수신인 이름은 어디에 쓰면 돼요 ?
어떤 영화인지 가르쳐 주시겠어요.
이 영화의 감독은 누구에요 ?
제 자리가 어디예요 ?
잠깐 실례하겠습니다.
여기가 제 자린데요.
자리 좀 바꿔 주시겠어요  ?
 창문쪽 리로 바꿀 수 있어요 ?
짐이 선반에 안 들어가는데요.
시트를 뉘어도 됩니까 ?
어떤 음료수가 있어요 ?
차 있어요 ?
헤드폰이 좀 이상한데요.
더운데요
추운데요 
담요를 한장 더 주세요
아까 물을 부탁했는데 아직 안 갖다 줬어요
저 사람 담배 피우고 있는데 주의시켜 주시겠어요.
화면이 안 보이는데요.
안내방송을 알아듣지 못했어요
식사는 언제 나와요 ?
제 짐을 못 찾았는데요.
짐의 특징은 ?
안에 뭐가 들어 있습니까 ?
