禮貌
自從
搬
能夠
昨天
下課會做哪些事的哪些
在操場玩球的玩球
讓同學大笑的讓
捧腹大笑
忍不住捧腹大笑的忍不住
完整
廁所
踢足球
比前一次完整的比
給朋友寫信的寫信
祝天天開心的祝
