早安
午安
晚安 （晚上說）
晚安 
你還好嗎？
還好
再見
待會見
明天見
日本見
路上小心
多保重
小心汽車
代我向你父母問好
謝謝
沒什麼
謝謝你的照顧
麻煩你了
不要麻煩了
對不起
對不起
沒闗係
遲到了，對不起
請原諒我
別擔心
是的
不是
好
沒錯
了解嗎？
了解
不了解
知道
不知道
我不確定
我沒聽清楚
你說什麼？
請再說一次
可以寫下來嗎？
請說慢點
我不知道你想說什麼
我會說一點韓文
你知道我的意思嗎？
請說簡單點
初次見面，我是 Ben.
請多指教
見到你很高興
我是 Ben
你叫什麼名字？
那個人是誰？
她是我的妹妹
她叫什麼名字？
我是台灣人
你是韓國人嗎？
多少錢？
你在找什麼顏色？
這個外套多少錢？
你推薦什麼花樣？
我想買禮物
我能拿這個嗎？
給我一個這個
給我這個
有幾位？
這個要怎麼吃？
我要點餐
給我醬油
給我啤酒
我要結帳
該走哪條路？
最近的車站在哪裡？
要去車站怎麼走？
洗手間在哪裡？
給我一張去首爾的車票 
去首爾在哪裡換車？
我現在在哪裡呢 ？
什麼時候出發？
什麼時候會好？
什麼時候可以拿？
請問是誰？
地址要寫在哪裡？
告訴我這是什麼電影
這部電影的導演是誰？
我的座位在哪裡？
借過
這是我的座位
我可以換位子嗎？
我可以換靠窗座位嗎？
行李放不進架上
我可以把座位往後倒嗎？
有什麼飲料呢？
有茶嗎？
這個耳機壞了
我覺得熱
我覺得冷
請再給我一條毛毯
我剛才叫的水還沒來
請提醒他不要抽煙
看不到畫面
聽不到聲音
餐點什麼時候來
我找不到我的行李
行李的特徵是什麼？
裡面有放什麼？
